"","BM_Series2_A549_Mock_1","BM_Series2_A549_Mock_2","BM_Series2_A549_Mock_3","BM_Series2_A549_SARS.CoV.2_1","BM_Series2_A549_SARS.CoV.2_2","BM_Series2_A549_SARS.CoV.2_3"
"ERCC3",1361.3883729458,1388.20686551915,1502.5974070023,1379.58290659633,1388.17049346167,1460.03663754964
"RNF149",809.811536457158,834.333466383085,841.749898762957,797.747895488595,766.966105513455,782.450573714446
"IWS1",1286.49250830236,1164.12068113586,1249.70324882132,1466.19912184214,1424.80171044141,1339.0391261505
"BOLA3",766.12228208182,930.169067251412,906.357895378535,930.810487025638,912.727823078698,846.982579793988
"CDC42EP3",706.829722572433,708.901577011304,874.976868450969,840.428349377835,839.465389119204,859.082330933902
"S100A11",6336.50221493741,6095.42608463994,6132.22185019856,6528.85413758644,6289.12206521033,5878.46242880828
"DHX57",911.233019828478,634.206182216872,793.755386991385,945.874176633605,857.780997609078,838.916079034045
"ARHGAP25",7.80165256702464,7.04673535796524,7.38377104178033,6.90419107031829,8.39465389119204,9.07481335493559
"S100A9",0,1.40934707159305,0,1.8829612009959,2.28945106123419,1.00831259499284
"TGFA",205.963627769451,236.770308027632,265.815757504092,283.699487616715,280.076179824316,258.128024318168
"CCNYL1",512.568573653519,532.733193062172,443.02626250682,683.51491596151,602.125629104593,582.804679905863
"FZD5",509.447912626709,428.441509764287,443.02626250682,456.931918108338,441.100904464455,469.873669266665
"DCAF16",175.537182758054,194.489895879841,214.12936021163,198.9662335719,169.41937853133,148.221951463948
"NPPC",3.12066102680986,1.40934707159305,0,1.2553074673306,0,0
"GNPDA2",192.700818405509,187.443160521875,156.905134637832,307.550329495996,205.287445157333,193.596018238626
"ALPP",0.780165256702464,2.8186941431861,1.84594276044508,0,1.52630070748946,1.00831259499284
"PAQR3",259.014865225218,204.355325380992,267.661700264537,270.518759209744,251.076466382017,277.285963623032
"NIPAL1",21.0644619309665,15.5028177875235,27.6891414066762,28.8720717486037,17.5524581361288,20.1662518998569
"ANTXR2",39.7884280918257,32.4149826466401,29.5350841671213,34.5209553515914,29.7628637960445,32.266003039771
