"","BM_Series1_NHBE_Mock_1","BM_Series1_NHBE_Mock_2","BM_Series1_NHBE_Mock_3","BM_Series1_NHBE_SARS.CoV.2_1","BM_Series1_NHBE_SARS.CoV.2_2","BM_Series1_NHBE_SARS.CoV.2_3"
"PSMA7",1380.19414225659,1140.37094521661,1190.60967369734,1437.62625943741,1346.56789586132,1436.76969240684
"SLCO4A1",1.19187749763091,0,0,6.7494190583916,0,6.03489693094958
"MRGBP",175.205992151743,238.653682170467,183.231735259217,237.579550855384,211.467096107908,223.755409285977
"TCFL5",100.117709800996,129.168230040717,100.737793843812,126.889078297762,125.515953818887,119.769492937307
"DIDO1",1070.30599287255,1023.50445137025,918.538309221532,1159.55019423168,961.834211329518,1079.78232779913
"GID8",1696.04167912878,1714.86202549294,1543.58855763826,1318.83648400972,1558.03499196923,1448.83948626874
"SLC17A9",8.34314248341634,4.92069447774159,10.3117426769257,18.8983733634965,10.9144307668598,18.1046907928487
"NKAIN4",3.57563249289272,6.15086809717699,2.37963292544438,4.04965143503496,2.72860769171494,0.464222840842275
"ARFGAP1",690.097071128294,784.850769199784,567.939058206059,1017.81239400545,754.460026759182,707.93983228447
"EEF1A2",17.8781624644636,29.5241668664495,24.589540229592,41.8463981620279,17.7359499961471,25.0680334054829
"PTK6",598.322503810715,600.324726284474,524.312454572912,734.336793553006,545.721538342989,555.210517647361
"GMEB2",219.305459564087,233.732987692726,175.299625507736,238.929434667063,166.445069194612,180.582685087645
"C20orf27",77.4720373460089,82.4216325021716,73.7686206887759,106.640821122587,70.9437999845885,64.9911977179185
"CDC25B",296.777496910096,314.924446575462,282.383107152733,437.362354983776,376.547861456662,434.51257902837
"ISM1",19.0700399620945,18.452604291531,20.6234853538513,12.1489543051049,21.8288615337196,17.1762451111642
"RNF24",545.879893914955,519.133267401738,437.852458281766,507.556313191049,499.335207583835,499.96799958713
"ARFRP1",421.924634161341,424.409898705212,375.188791245064,492.707591262587,476.142042204258,467.936623569013
"NDUFAF5",184.74101213279,198.057952729099,166.574304781107,174.135011706503,212.831399953766,180.118462246803
"TRIB3",97.7339548057343,79.9612852633008,69.0093548378871,128.23896210944,80.4939269055908,104.914362030354
"CSNK2A1",3315.80319840918,3193.53071605429,3719.36626246957,3142.52951358713,3532.18265692499,3525.77247619708
"SLC52A3",8.34314248341634,27.0638196275787,16.6574304781107,13.4988381167832,23.193165379577,23.2111420421138
"RPS10P5",1.19187749763091,3.69052085830619,3.17284390059251,0,1.36430384585747,1.39266852252683
"RSPO4",0,0,0,0,1.36430384585747,5.10645124926503
"CDS2",1141.81864273041,1140.37094521661,1095.42435667956,1044.81007023902,1132.3721920617,1091.38789882019
"HM13",2262.18349050346,2446.81532905701,2389.15145714616,2836.10588833615,2556.7054071369,2809.94085561829
"SNPH",156.135952189649,166.073438623779,120.568068222515,184.93408219993,132.337473048175,135.088846685102
"MYLK2",0,0,0,1.34988381167832,1.36430384585747,3.24955988589593
"SIRPB1",52.4426098957599,66.4293754495115,43.626603633147,63.4445391488811,60.0293692177288,78.4536601023445
"SEC23B",1474.35246456943,1274.45986973507,1212.81958100149,1406.57893176881,1457.07650737578,1585.78522431721
"FERMT1",1835.4913463516,1689.0283794848,1931.46872448569,2165.21363393203,2131.04260722937,2564.36697281273
"PLCB4",741.347803526423,617.54715695657,690.093548378871,527.804570366223,604.38660371486,598.383241845693
"MYL9",64.3613848720689,44.2862502996743,37.280915831962,53.9953524671328,40.9291153757242,49.2076211292812
"TM9SF4",1928.45779116681,1872.32424878068,1789.48395993418,2023.4758337058,1941.40437265518,1999.40777550768
"TLDC2",2.38375499526181,0,0,8.09930287006992,5.45721538342989,7.4275654534764
"CRNKL1",365.906391772688,327.226182769816,372.80915831962,263.227343277273,289.232415321784,305.458629274217
"POFUT1",1109.63795029437,1028.42514584799,977.235921382493,1070.45786266091,1079.16434207326,1062.60608268797
"SAMHD1",165.670972170696,207.899341684582,209.407697439106,350.969791036363,343.804569156083,355.130473244341
"PAK5",13.11065247394,25.8336460081433,11.8981646272219,9.44918668174824,12.2787346127172,3.7137827267382
"KIF3B",952.310120607094,932.471603532031,979.615554307938,934.119597681398,1034.14231515996,985.54509110815
